From Type,From Name,Edge Type,To Type,To Name,Date,Weight,NRS Reference
Person,Duchess of Hamilton,WROTE LETTER TO,Person,Arran,"1688, Jan 20",,GD406/1/6254
Person,James St. Clair,WROTE LETTER TO,Person,Hamilton,"1688, Jan 27",,GD406/1/6257
Person,Hamilton,WROTE LETTER TO,Person,Arran,"1688, Apr 21",,GD406/1/6258
Person,Hamilton,WROTE LETTER TO,Person,Arran,"1688, Apr 27",,GD406/1/6259
Person,Arran,WROTE LETTER TO,Person,Hamilton,n.d. [c 1689],,GD406/1/6274
Person,Frank,WROTE LETTER TO,Person,Lady Anne Spencer,c 1688,,GD406/1/6298
Person,Lord George Hamilton,WROTE LETTER TO,Person,Arran,"1692, Feb 2",,GD406/1/6299
Person,Hamilton,WROTE LETTER TO,Person,Arran,"1689, Feb 28",,GD406/1/6306
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Aug 3",,GD406/1/6337
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Aug 31",,GD406/1/6338
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Sep 3",,GD406/1/6339
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Sep 5",,GD406/1/6340
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Sep 10",,GD406/1/6341
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Sep 14",,GD406/1/6342
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Sep 17",,GD406/1/6343
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Sep 21",,GD406/1/6344
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Sep 23",,GD406/1/6345
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Sep 23",,GD406/1/6346
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Sep 30-Oct 1",,GD406/1/6391
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Oct 3",,GD406/1/6392
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Oct 5",,GD406/1/6393
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Oct 8",,GD406/1/6394
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Oct 10",,GD406/1/6395
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Oct 15",,GD406/1/6396
Person,Selkirk,WROTE LETTER TO,Person,Arran,c 1689,,GD406/1/6397
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Oct 17",,GD406/1/6416
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Oct 19",,GD406/1/6417
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Oct 22",,GD406/1/6446
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Oct 24",,GD406/1/6447
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Oct 26",,GD406/1/6448
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Oct 29",,GD406/1/6449
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Oct 31",,GD406/1/6450
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Nov 2",,GD406/1/6451
Person,Arran,WROTE LETTER TO,Person,David Crawford,"1691, May 14",,GD406/1/6483
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Nov 5",,GD406/1/6525
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Nov 9",,GD406/1/6526
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Nov 12",,GD406/1/6567
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Nov 14",,GD406/1/6568
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Nov 16",,GD406/1/6569
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Nov 19",,GD406/1/6587
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Nov 21",,GD406/1/6588
