Edge Type,From Location,To Location,Date
Letter,,,1688
Letter,,,"1688, Feb 5"
Letter,,,n.d.
Letter,,,1690
Letter,,,"1690, Jun"
Letter,,,1688
Letter,,,1688
Letter,,,1688
Letter,,,1688
Letter,,,"1689, Aug 25"
Letter,,,1688
Letter,,,"1691, Feb 4"
Letter,,,"1689, Jul 10"
Letter,,,1688
Letter,Holyrood House,,"1688, Feb 16"
Letter,Holyrood House,,"1688, Feb 25"
Letter,Holyrood House,,"1688, Mar 1"
Letter,Holyrood House,,"1688, Mar 13"
Letter,Holyrood House,,"1688, Mar 17"
Letter,Holyrood House,,"1688, Mar 17"
Letter,Holyrood House,,"1688, Mar 22"
Letter,Hamilton,,"1688, May 8"
Letter,Holyrood House,,"1689, May 8"
Letter,Hamilton,,"1688, May 14"
Letter,Hamilton,,"1688, May 21"
Letter,Hamilton,,"1688, May 26"
Letter,Holyrood House,,"1688, Jun 5"
Letter,Turnbridge Wells,,"1688, Aug 16"
Letter,Althrope,,"1690, Jun 29"
Letter,Hamilton,,"1691, Nov 12"
Letter,,,1692
Letter,,,1691
Letter,Althrope,,"1690, Jun 29"
Letter,,,"1690, Mar 20"
Letter,Althrope,,1690
Letter,,,"1690, May 26"
Letter,Whitehall,,"1690, Jan 21"
Letter,,,"1689, Nov 4"
Letter,,,"1690, Feb 14"
Letter,London,,"1692, Feb 11"
Letter,Richmond,,"1692, Mar 15"
Letter,London,,"1692, Feb 25"
Letter,London,,"1691, Dec 31"
Letter,London,,"1691, Nov 24"
Letter,London,,"1692, Jan 2"
Letter,London,,"1692, Jan 14"
Letter,London,,"1692, Jan 16"
Letter,London,,"1692, Jan 19"
Letter,London,,"1692, Feb 11"
Letter,London,,"1691, Oct 30"
Letter,London,,"1691, Oct 13"
Letter,Tullibardine,,1690
Letter,,,1691
Letter,,,1691
Letter,,,1691
Letter,London,,"1692, Feb 27"
Letter,Whitehall,,"1688, Feb 14"
Order,Hamilton,,"1691, Sep 29"
Letter,,,1691
Letter,London,,"1688, Jan 5"
Letter,London,,"1688, Jan 7"
Letter,London,,"1688, Jan 12"
Letter,London,,"1688, Jan 17"
Letter,London,,"1688, Jan 21"
Letter,London,,"1688, Jan 31"
Letter,Doncaster,,"1688, Feb 5"
Letter,Holyrood House,,"1689, Jun 11"
Letter,London,,"1689, Nov 7"
Letter,London,,"1692, Mar 1"
Letter,,,"1688, Jan"
Letter,Greenwich,,"1689, Feb"
Letter,,,1688
Letter,,,1690
Letter,Edinburgh,,"1689, Sep 3"
