From Type,From Name,From Place,Edge Type,To Type,To Name,To Place,Date,Weight,Identifier,Reference
Person,William Fullerton,Portpatrick,WROTE LETTER TO,Person,Hamilton,,"1689, Jul 28",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3529
Person,Major General Kirk,"Swallow, Derry Loch",WROTE LETTER TO,Person,Hamilton,,"1689, Jun 19",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3530
Person,Major General Kirk,Isle of Inch,WROTE LETTER TO,Person,Hamilton,,"1689, Aug 4",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3531
Person,Major General Kirk,"Swallow, Derry Loch",WROTE LETTER TO,Person,Hamilton,,"1689, Jul 29",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3532
Person,Major General Kirk,,Proclamation,Group,Protestant Subjects,,"1689, Jul 24",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3533
Person,Captain George Rooke,"Deptford, Greenock",WROTE LETTER TO,Person,Hamilton,,"1689, May 11",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3534
Person,Captain George Rooke,"Deptford, Cape of Kintyre",WROTE LETTER TO,Person,Hamilton,,"1689, Jul 20",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3535
Person,Captain George Rooke,,WROTE LETTER TO,Person,Hamilton,,"1689, Aug 2",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3536
Person,Captain George Rooke,"Deptford, Carrickfergus",Instructions,Person,Hamilton,,"1689, May 4",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3537
Person,Captain George Rooke,"Deptford, off Islay",WROTE LETTER TO,Person,Hamilton,,"1689, Jul 30",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3538
Person,Captain George Rooke,"Deptford, Cape of Kintyre",WROTE LETTER TO,Person,Hamilton,,"1689, Aug 9",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3539
Person,Captain George Rooke,"Deptford, Donagadee",WROTE LETTER TO,Person,Hamilton,,"1689, Aug 13",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3540
Person,Captain George Rooke,"Deptford, Carrickfergus",WROTE LETTER TO,Person,Hamilton,,"1689, Aug 26",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3541
Person,Captain George Rooke,"Deptford, Mouth of Derry Loch ",WROTE LETTER TO,Person,Hamilton,,"1689, Jun 20",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3542
Person,James Dalrymple,,WROTE LETTER TO,Person,Hamilton,,c 1689,,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3543
Person,James Dalrymple,Hampton Court,WROTE LETTER TO,Person,Hamilton,,"1689, May 30",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3544
Person,John Dalrymple,London,WROTE LETTER TO,Person,Hamilton,,"1689, May 16",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3545
Person,John Dalrymple,London,WROTE LETTER TO,Person,Hamilton,,"1689, May 30",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3546
Person,John Dalrymple,London,WROTE LETTER TO,Person,Hamilton,,"1691, Jan 13",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3547
Person,John Dalrymple,,WROTE LETTER TO,Person,Hamilton,,"1691, Jul",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3548
Person,John Dalrymple,Hague,WROTE LETTER TO,Person,Hamitlon,,"1691, Oct 6-16",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3549
Person,John Dalrymple,London,WROTE LETTER TO,Person,Hamilton,,"1692, Mar 3",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3550
Person,John Dalrymple,"Camp, Opprobaix",WROTE LETTER TO,Person,Hamilton,,c 1692,,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3551
Person,John Dalrymple,London,WROTE LETTER TO,Person,Hamilton,,"1691, Dec 30",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3552
Person,John Dalrymple,St. Gerard,WROTE LETTER TO,Person,Hamilton,,"1691, Aug 17-27",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3553
Person,John Dalrymple,Hague,WROTE LETTER TO,Person,Hamilton,,"1691, Feb 13",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3554
Person,John Dalrymple,Hague,WROTE LETTER TO,Person,Hamilton,,c 1691,,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3555
Person,John Dalrymple,Rotterdam,WROTE LETTER TO,Person,Hamilton,,"1691, Mar 17",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3556
Person,John Dalrymple,Hague,WROTE LETTER TO,Person,Hamilton,,c 1691,,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3557
Person,Argyll,"Camp, Portncaple",WROTE LETTER TO,Person,Hamilton,,"1689, Aug 2",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3558
Person,Argyll,Glasgow,WROTE LETTER TO,Person,Hamilton,,"1689, Aug 5",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3559
Person,Argyll,Glasgow,WROTE LETTER TO,Person,Hamilton,,"1689, Aug 5",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3560
Group,"Argyll, Glencairn, Eglinton & others",Inverary,Opinion,Person,Hamilton,,"1689, Jul 22",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3561
Person,Unknown,,WROTE LETTER TO,Person,Argyll,,"1689, Jul 18",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3562
Person,Argyll,Inverary,WROTE LETTER TO,Person,Hamilton,,"1689, Jul 22",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3564
Person,Argyll,Inverary,WROTE LETTER TO,Person,Hamilton,,"1689, Jul 25",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3565
Person,Argyll,Inverary,WROTE LETTER TO,Person,Hamilton,,"1689, Jul 20",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3566
Person,Argyll & Skelmorlie,London,WROTE LETTER TO,Person,Hamilton,,"1689, May 12",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3567
Person,Argyll,Dumbarton,WROTE LETTER TO,Person,Hamilton,,"1689, Jul 14",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3568
Person,Master of Forbes,Puitachie,WROTE LETTER TO,Person,Hamilton,,"1689, Jun 18",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3569
Person,Master of Forbes,Puitachie,WROTE LETTER TO,Person,Hamilton,,"1689, Aug 5",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3570
Person,Polwarth,Edinburgh,WROTE LETTER TO,Person,Hamilton,,"1689, Sep 3",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3571
Person,Polwarth,Edinburgh,WROTE LETTER TO,Person,Hamilton,,"1689, Sep 5",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3572
Person,Polwarth,Edinburgh,WROTE LETTER TO,Person,Hamilton,,"1689, Aug 27",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3573
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, May 20",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3574
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, May 21",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3575
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melvile,,"1689, May 25",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3576
Person,Hamilton,Edinburgh,WROTE LETTER TO,Person,Melville,,"1689, May 30",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3577
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jun 1",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3578
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jun 4",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3579
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jun 6",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3580
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jun 8",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3581
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jun 14",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3582
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jun 18",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3583
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jun 23",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3584
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jun 25",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3585
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jun 27",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3586
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jul 2",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3587
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jul 4",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3588
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jul 6",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3589
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jul 9",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3590
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jul 13",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3591
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jul 18",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3592
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jul 23",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3593
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jul 25",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3594
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jul 29",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3595
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Jul 30",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3596
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Aug 1",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3597
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Aug 3",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3598
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Aug 6",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3599
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Aug 8",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3600
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Aug 13",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3601
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Aug 15",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3602
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Aug 16",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3603
Person,Hamilton,Holyrood House,WROTE LETTER TO,Person,Melville,,"1689, Dec 29",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3604
Person,Major General Mackay,Strathspey,WROTE LETTER TO,Person,Hamilton,,"1689, Jun 13",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3605
Person,Major General Mackay,Inverness,WROTE LETTER TO,Person,Hamilton,,"1689, Jun 19",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3606
Person,Major General Mackay,Fettercairn,WROTE LETTER TO,Person,Hamilton,,"1689, Jul 14",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3607
Person,Major General Mackay,Stirling,WROTE LETTER TO,Person,Hamilton,,"1689, Jul 24",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3608
Person,Major General Mackay,St. Johnston,WROTE LETTER TO,Person,Hamilton,,"1689, Jul 26",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3609
Person,Major General Mackay,Stirling,WROTE LETTER TO,Person,Hamilton,,"1689, Jul 30",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3610
Person,Major General Mackay,St. Johnston,WROTE LETTER TO,Person,Hamilton,,"1689, Aug 4",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3611
Person,Major General Mackay,Forfar,WROTE LETTER TO,Person,Hamilton,,"1689, Aug 8",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3612
Person,Major General Mackay,Aberdeen,WROTE LETTER TO,Person,Hamilton,,"1689, Aug 11",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3613
Person,Major General Mackay,,WROTE LETTER TO,Person,Hamilton,,c 1689,,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3614
