From Type,From Place,From Name,Edge Type,To Type,To Place,To Name,Date,Weight,Identifier,
Person,Unknown,Unknown,WROTE LETTER TO,Person,,Unknown,c. 1690,1,GD26/8/111,
Person,Unknown,Alexander McDowall,WROTE LETTER TO,Person,,Canon,c. 1690,1,GD26/8/112,
Person,Unknown,Unknown,Letters,Person,,Unknown,c. 1690,4,GD26/8/113,
Group,Unknown,John Chapel; John Price; Richard Morris,Discovery,Person,,Melville,c. 1690,1,GD26/8/114,
Group,Unknown,Highland Chieftains,Declaration,Person,,Parliament,c. 1690,1,GD26/8/115,
Person,Unknown,Gordon,Declaration,Person,,Unknown,c. 1690,1,GD26/8/116,Regent of College of Glasgow
Person,Lochaber,Canon,WROTE LETTER TO,Person,Dublin,Melfort,c. 1690,1,GD26/8/117,
Person,Edinburgh Castle,Balcarres,Discourse,Person,,King James ,c. 1690,1,GD26/8/118,
Group,Edinburgh,John Price; Richard Morris,Report,Person,,Melville,c. 1690,1,GD26/8/119,
Person,Isle of Skye,Buchan,WROTE LETTER TO,Person,,Canon,c. 1690,1,GD26/8/120,
Person,Unknown,John Chapel,Information,Person,,Melville,"1691, Feb",1,GD26/8/121,
Person,Edinburgh,John Mackie,WROTE LETTER TO,Person,London,Melville,1690-1691,24,GD26/8/122,
Person,Unknown,Unknown,Papers,Person,,Melville,1690-1703,9,GD26/8/123,
Person,"Mallow, Cork",Jacobite Agent,WROTE LETTER TO,Person,,Jacobite Agent,"1691, Jan 17",2,GD26/8/124,
Person,London,Unknown,WROTE LETTER TO,Person,,John Drummond,"1691, Apr 14",1,GD26/8/125,
Person,"Rome,Italy",Melfort,WROTE LETTER TO,Person,Livorno,Cap. Cole,"1691, Aug 12",1,GD26/8/126,
Person,St. Germaine,Unknown,WROTE LETTER TO,Person,London,Melville,"1691, Aug 30",1,GD26/8/127,
Group,Shires of Perth; Stirling; Dumbarton,Perth,Account ,Person,London,Melville,1691,1,GD26/8/128,
Person,Buchan,Unknown,Agreement,Person,,Breadalbane,1691,1,GD26/8/129,
Person,A. Gordon,Invergarry,WROTE LETTER TO,Person,,Aeneas Macpherson,"1692, Jan 6",1,GD26/8/130,
Person,Melfort,St. Germaine,Copy Letter,Person,,Unknown,1692,1,GD26/8/131,
Person,Stirling Castle,Perth,Letter,Person,,Countess Errol,"1688, Dec 29",1,Perth Letters,
Person,Stirling Castle,Perth,Letter,Person,,Melfort,"1688, Dec 31",1,Perth Letters,
Person,Stirling Castle,Perth,Letter,Person,,Countess Errol,"1689, Jan 13",1,Perth Letters,
Person,Edinburgh,Perth,Letter,Person ,,Atholl,"1688, Oct 16",1,Atholl Letters,
Person,Edinburgh,Marchioness of Atholl,Letter,Person ,London,Lord Murray,"1689, Jan 3",1,Atholl Letters,
Person,London,Robert Murray,Letter,Person ,,Marquis Atholl,"1689, March 5",1,Atholl Letters,
Person,Perth,Unknown,Letter,Person ,London,Lord Murray,"1689, May 2",1,Atholl Letters,
Person,Calvin,Do. Robertson,Letter,Person ,,Alexander Robertson of Strowan,"1689, May 25",1,Atholl Letters,
Person,Cari,Mari Baillie,Letter,Person ,London,Lord Murray,"1689, May 29",1,Atholl Letters,
Person,Holyrood House,Hamilton,Letter,Person ,,Lord Murray,"1689, May 30",1,Atholl Letters,
Person,,Haldane of Gleneagles,Letter,Person ,,Lord Murray,"1689, June 16",1,Atholl Letters,
Person,,Haldane of Gleneagles,Letter,Person ,,Lord Murray,"1689, June 21",1,Atholl Letters,
Person,,Haldane of Gleneagles,Letter,Person ,,Lord Murray,"1689, June 30",1,Atholl Letters,
Person,Stroan,Dundee,Letter,Group,,Leonard Robertson of Strathloch; John Robertson of Blatton,"1689, July 10",1,Atholl Letters,
Person,,Leonard Robertson,Letter,Person ,,Lord Murray,"1689, July 14",1,Atholl Letters,
Person,Stirling,Mackay,Letter,Person ,,Lord Murray,"1689, July 25",1,Atholl Letters,
Person,,Patrick Stuart of Ballechin,Letter,Person ,,Lord Murray,"1689, July 25",1,Atholl Letters,
Person,Perth,Unknown,Letter,Person ,,Lord Murray,"1689, July 26",1,Atholl Letters,
Person,Dunkeld,Mackay,Letter,Person ,,Lord Murray,"1689, July 26",1,Atholl Letters,
Person,Blair Castle,Patrick Stuart of Ballechin,Letter,Person ,,Lord Murray,"1689, July 27",1,Atholl Letters,
Person,Tullimet,Lord Murray,Letter,Person ,,Lord James Murray of Dowally,"1689, July 28",1,Atholl Letters,
Person,Tullimet,Thomas Stuart of Stenton,Letter,Person ,,Lord Murray,"1689, July 29",1,Atholl Letters,
Person,Chesthill,R. Campbell of Glenlyon,Letter,Person ,,Lord Murray,"1689, July 29",1,Atholl Letters,
Person,St. Johnston,Mackay,Letter,Person ,,Lord Murray,"1689, Aug 4",1,Atholl Letters,
Person,,Lord Murray,Letter,Person ,,James Stewart of Kinrorie,"1689, Aug 6",1,Atholl Letters,
