Source,Target,Weight,
Breadalbane,Mr Alexander Hamilton,1,
Breadalbane,Cameron of Lochiel,2,
"Breadalbane, Lochinell, Inveraw",Barcaldine,1,
Buchan,Canon,2,
C. Campbell,Perth,1,
C. Graham,Marchioness of Atholl,1,
Ch. Monro,Breadalbane,1,
Cameron of Lochiel,Canon,1,
Cameron of Lochiel,Alexander Campbell of Barcardine,1,
Cameron of Lochiel,Breadalbane,1,
Canon,Breadalbane,2,
Canon,Thomas Dunbar,1,
Canon,Melfort,1,
Canon,McNaughton of McNaughton,2,
Charles Campbell,Duncan Campbell,1,
Charles Campbell,Breadalbane,1,
Charles Menzies,Breadalbane,1,
Charles Oliphant,Dunfermline,1,
Coll MackDonald,Breadalbane,1,
Colin Campbell,Breadalbane,2,
Colin Campbell of Carwhin,Breadalbane,30,
Colin McKenzie,Melfort,1,
Colin McKenzie,Seaforth,1,
Colonel Fergus O'Farrell,Breadalbane,1,
Colonel John Hill,Breadalbane,1,
Countess Dunfermline,Dunfermline,8,
D. McDonald,Canon,1,
David Burnet,Dunfermline,1,
David Forbes,Breadalbane,1,
David Graham,Cannon,2,
Do. Robertson,Alexander Robertson of Strowan,1,
Duchess Hamilton,Breadalbane,1,
Duchess Newcastle,Breadalbane,2,"Margaret Cavendish Holles, Countess of Clare, later Duchess of Newcastle"
Duchess Newcastle,Glenorchy,1,
Dugall Campbell,Breadalbane,1,
Duncan Campbell of Auchenbreck,Breadalbane,1,
Duncan McGregor,Breadalbane,1,
Dundee,Leonard Robertson of Strathloch; John Robertson of Blatton,1,
Dundee,Dunfermline,1,
Dundee,Breadalbane,2,
Dundee,Laird of Mackintosh,1,
Dunfermline,Melfort,2,
Dunfermline,Breadalbane,2,
"Elizabeth Talmash, Argyll's wife",Breadalbane,1,
Estates of Scotland,Mar,1,
G. Gordon,Dunfermline,1,
George Barclay,Alexander Campbell of Barcardine,1,
George Drummond,Privy Council,1,
George Drummond,Breadalbane,2,
George Milne,Unknown,1,
Gilbert Elliot,Melville,1,
Glenorchy,Carwhin,1,
Glenorchy,Breadalbane,6,
Gordon,Unknown,1,
Haldane of Gleneagles,Lord Murray,3,
