"From Type","From Name","Edge Type","To Type","To Name","Weight","From ID","Edge Type ID","To ID","Edge ID"
"Person","Unknown","Letter","Person","Countess Perth","1","51499f34-96db-46f3-b28a-c007cb43b8f2","9d957034-5dba-4505-a312-154a15d00bd0","bf02b24f-ac84-438d-908e-14f565fc0557","18070a25-bdee-4d5b-b8d2-fd669e9d4bba"
"Person","Melfort","Letter","Person","Unknown","1","6421c452-2f83-48d4-9f02-0cb729e906f2","9d957034-5dba-4505-a312-154a15d00bd0","51499f34-96db-46f3-b28a-c007cb43b8f2","da068c06-0bf3-4b51-ac0b-b1c63999e2b4"
"Person","Tarbat","Letter","Person","James Melville","1","e5de6b65-e5cf-49ea-819b-02084c8b6cfa","9d957034-5dba-4505-a312-154a15d00bd0","b893b4d6-e811-475d-8912-19b383e67137","0cd554aa-891c-4ebd-aafc-d9cde0e32a73"
"Person","Hill","Letter","Person","Leven","4","ce5ac88b-be77-4c06-aaee-83d8b9f3ccc9","9d957034-5dba-4505-a312-154a15d00bd0","90a140c9-a62d-420b-bbad-b64672af4467","eecddbbb-536c-4056-ac1d-231e12a62bca"
"Person","Edward Pulford","Letter","Person","Edward Hungerford","1","3816fb9b-2ac4-4c81-80fb-a0b719d46109","9d957034-5dba-4505-a312-154a15d00bd0","18507ec6-3e6f-4a0c-a811-f2c516385558","58894fd0-4185-4cae-9892-bc36efef1139"
"Person","Robert Cunningham","Letter","Person","James Hamilton","1","f271bb97-d989-478b-ab0a-e07e671c1e84","9d957034-5dba-4505-a312-154a15d00bd0","ca1db5a9-b89e-4c51-94af-25bb54ece423","4e6d6e5f-7029-4d9a-8e6c-a6527f754306"
"Person","Lady Elizabeth Clancarty","Letter","Person","Lady Anne Spencer","2","e8863a23-697b-4152-b985-c052716f4b31","9d957034-5dba-4505-a312-154a15d00bd0","d0a6ff6f-7061-4816-8980-97191c5aea25","9210780b-e3e5-4a4e-a97d-d3f14ea892d3"
"Person","D. McDonald","Letter","Person","Canon","1","ed7fa946-955a-43c8-9c57-0ae69761c144","9d957034-5dba-4505-a312-154a15d00bd0","e5f4a1d7-a704-4cc6-b88a-fe8a5e7e17d7","f5cad6e1-3d10-4d2e-80c2-44a75558067c"
"Person","Arthur Naismith","Letter","Person","David Crawford","1","642a239a-fedf-4d8f-8ab8-60ecd9904e15","9d957034-5dba-4505-a312-154a15d00bd0","dd41a120-17bc-4c2b-afea-8ad04d059ee5","8ce9a5db-10c9-4713-a9b5-300bf1578a3b"
"Person","John Dalrymple","Letter","Person","Lieutenant Colonel Hamilton","9","4fa568af-136c-4b61-982c-ec428e9f9072","9d957034-5dba-4505-a312-154a15d00bd0","730c42f0-65e7-40b4-966f-9fe728d2247c","b7f7ccb4-5ebd-4167-87db-48eb51c3a731"
