"Node Type","Name","Description","Reference","Image","Node Type ID","Node ID"
"Person","Baird of Newbyth",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","7a13eb37-6248-4fca-a73c-5f97c436241c"
"Person","Lady Dunfermline",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","eb3d84a9-cb39-44ff-88e3-c27b33019187"
"Person","G. Muirhead",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","9a99b37f-c3b0-428e-9795-b55e6eeb1bfd"
"Person","Parliament",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","c659f6ce-bc1d-4b68-a119-1d57625b5c76"
"Person","Robert Stewart",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","0797a706-39d3-45e5-a7ba-12e72bab5050"
"Person","Lady Auchenbreck",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","a90d0abb-9a0d-44da-95d6-282889746fbf"
"Person","John How",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","0a6309bb-ad58-42b1-8590-2883b26ebafd"
"Person","Neil Campbell",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","80b5fd51-2f72-44ab-9c29-7b7e94e79079"
"Person","Glengarry",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","1c3fcb74-2007-4ba0-8934-066be7f23190"
"Person","Queen Mary of Modena",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","0f264840-52d0-48cc-82e9-44890def6907"
"Person","R. Colville",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","0cb385cf-30f5-49a6-9fab-79f67008d846"
"Person","Henrietta Campbell",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","6e651be8-8f7d-46a7-ae18-7e12b1da5a76"
"Person","Seaforth",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","7d836278-4ba0-4ade-87cf-aac2a102aec2"
"Person","Sir George Lockhart",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","6fd5ca5c-a3af-4664-8480-e18c7d45c76e"
"Person","John Robertson",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","b5c65c67-b6f8-4522-8555-97083737a819"
"Person","Cunningham",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","3a33a11c-9daf-4a24-a707-90026e7f7762"
"Person","Edward Hungerford, younger",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","7f79b505-5660-4a30-a2aa-0ca5bed49211"
"Person","Thomas Bass",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","ba5f238c-d7d6-458d-ab12-85f9c1ca51db"
"Person","Alexander Innes",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","aec5025e-2034-4521-a064-4291769610fb"
